title,body,labels,milestone
"[PROG-001] Define RACI, decision log, escalation policy","Backlog ID: PROG-001
Epic: Program Setup
Owner Role: General Manager Agent
Sprint: S1
Priority: P0
Dependencies: None

Acceptance Test:
RACI approved and decision log live

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:program-setup,owner:general-manager-agent,priority:p0,sprint:s1",S1
[PROG-002] Create shared artifact contract (ADR/API/Test/Rollback),"Backlog ID: PROG-002
Epic: Program Setup
Owner Role: Chief Orchestrator Agent
Sprint: S1
Priority: P0
Dependencies: PROG-001

Acceptance Test:
All new tickets include required artifact links

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:program-setup,owner:chief-orchestrator-agent,priority:p0,sprint:s1",S1
[PROG-003] Define release scorecard and go/no-go rubric,"Backlog ID: PROG-003
Epic: Program Setup
Owner Role: QA Test Manager Agent
Sprint: S1
Priority: P0
Dependencies: PROG-001

Acceptance Test:
Release gate rubric published and enforced in CI

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:program-setup,owner:qa-test-manager-agent,priority:p0,sprint:s1",S1
[CORE-001] Stand up SIP runtime service skeleton,"Backlog ID: CORE-001
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S1
Priority: P0
Dependencies: PROG-002

Acceptance Test:
Test endpoints can register and remain stable

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p0,sprint:s1",S1
[CORE-002] Implement extension-to-extension calling,"Backlog ID: CORE-002
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S1
Priority: P0
Dependencies: CORE-001

Acceptance Test:
Internal call completion greater than 95 percent in lab

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p0,sprint:s1",S1
[CORE-003] Integrate inbound and outbound trunk routing,"Backlog ID: CORE-003
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S2
Priority: P0
Dependencies: CORE-002

Acceptance Test:
Inbound and outbound PSTN calls produce valid CDRs

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p0,sprint:s2",S2
"[CORE-004] Implement IVR, ring groups, and queues runtime parity","Backlog ID: CORE-004
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S2
Priority: P1
Dependencies: CORE-003

Acceptance Test:
Configured call flows execute correctly end to end

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p1,sprint:s2",S2
"[CORE-005] Implement voicemail, recording, and retrieval pipeline","Backlog ID: CORE-005
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S3
Priority: P1
Dependencies: CORE-004

Acceptance Test:
Voicemail and recordings are accessible from UI and APIs

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p1,sprint:s3",S3
[PROV-001] Define normalized device profile schema,"Backlog ID: PROV-001
Epic: Provisioning
Owner Role: Provisioning Manager Agent
Sprint: S1
Priority: P0
Dependencies: PROG-002

Acceptance Test:
Schema approved and used by adapters

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:provisioning,owner:provisioning-manager-agent,priority:p0,sprint:s1",S1
[PROV-002] Build adapter SDK and validation harness,"Backlog ID: PROV-002
Epic: Provisioning
Owner Role: Provisioning Manager Agent
Sprint: S2
Priority: P0
Dependencies: PROV-001

Acceptance Test:
Reference adapter passes all SDK conformance checks

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:provisioning,owner:provisioning-manager-agent,priority:p0,sprint:s2",S2
